Parameter,Median,+1sigma,-1sigma
P (day),4.23070995395385,4.696769934042777e-05,0.008747706847243464
K (m/s),55.61194337224585,0.6378551106781103,5.267102885191115
e,0.008091392726519335,0.010388772884226129,0.006068123024743724
ω,1.1065307890658866,1.9231680521456465,0.9256522137493794
Tp,2450001.5742397425,1.3102854136377573,0.578340120613575
γ,-2.055381169472975,0.4521017714647466,0.6543959233915615
